Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,,,,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
First Year UG [BTech/BTech-MTech] (2024 Batch),,,,,,,,,,,,,,,,,
GE 101,General Education I,3,0,0,2,TBA,,,,"P1,P2
 (Central Arcade)",,,,,,,
MA 104,Ordinary Differential Equations (First Half),3,1.5,0,2,"Projesh Nath Choudhury(I+T),Madhu Gupta(T),Tanya Srivastava(T)",,,,"E1,E2
 (Jasubhai Auditorium)","H1
 (7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204,7/205,7/207)",,,,,,
ES 113,Data-Centric Computing,1.5,0,1.5,3,"Balagopal Komarath(I+L),Mayank Singh(I+L)",,,,"C1
 (Jasubhai Auditorium)",,"N1,N2
 (7/108,7/109,10/104,10/105)",,,,,
ES 114,"Probability, Statistics, and Data Visualization",1.5,0,1.5,3,Nipun Batra(I+L),,,,"D1
 (Jasubhai Auditorium)",,"I1,K2
 (7/108,7/109,10/104,10/105)",,,,,
ES 116,Principles and Applications of Electrical Engineering,3,1,1.5,5,Arup Chakraborty(I+T+L),,,,"F1,F2
 (Jasubhai Auditorium)","H2
(7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204,7/205,7/207)","I1,J1,I2,K2,J2
 (EE Lab)",,,,,
ES 117,The World of Engineering,0,0,3,2,Udit Bhatia(L),,,,,,"J2,M2
 (Jasubhai Auditorium)",,,,,
BS 192,Undergraduate Science Laboratory,0,0,3,3,"Krista Khaingte(L),Naveen Sisodia(L)",,,,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
 (PH Lab)",,,,,
HS 192,Introduction to Writing II,1,3,0,2,Jooyoung Kim(I+T),,,,,"G1,G2
(7/101,7/102,7/103,7/104,7/105,7/106,7/107)
B1,B2
(7/105,7/110,7/201,7/204,7/205)",,,,,,
PE 102,Physical Education,0,0,0,0,,,,,,,,,,,,
IN 102,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Second Year[BTech/BTech-MTech] (2023 Batch),,,,,,,,,,,,,,,,,
CS 201,Theory of Computing,3,1,0,4,Bireswar Das(I+T),,,,"C1,C2
 (7/208)","H2
 (7/208)",,,,,,
PH 201,Introduction to Electrodynamics,3,1,0,4,Chandan Kumar Mishra(I+T),,,,"L1,L2
 (7/209)","B2
 (7/210,7/103)",,,,,,BS
CL 202,Chemical Engineering Thermodynamics,2,1,0,3,Pratyush Dayal(I+T),,,,"F1,F2
 (7/201)",,,,,,,
CS 203,Software Tools & Techniques for AI,1.5,0,3,4,Mayank Singh(I+L),,,,"K1
(10/201)",,"J2,M2
(10/104)",,,,,
ES 202,Introduction to Materials,3,1,0,4,Emila Panda(I+T),,,,"M1,M2
(11/205)","J1
(13/125)",,,,,,
ES 204,Digital Systems,2,1,1.5,4,Joycee Mekie(I+T+L),,,,"F1,F2
 (10/103)",,"A1,A2,B1
(10/104,10/105)",,,,,
CL 203,Process Fluid Mechanics,2,1,0,3,Prachi Thareja(I+T),,,,"D1,D2
 (7/102)",,,,,,,
CL 204,Heat Transfer,2,1,0,3,Biswajit Saha(I+T),,,,"C1,C2
 (7/102)",,,,,,,
MA 203,Numerical Methods (Second Half),3,1.5,0,2,"Rohit Kumar Mishra(I+T),Madhu Gupta(T)",,,,"E1,E2
 (Jasubhai Auditorium)","H1
 (7/101,7/210,7/103,7/104,7/105,7/110,7/201,7/204,7/205,7/207)",,,,,,
MA 204,Partial Differential Equations (Second Half),3,1.5,0,2,Jagmohan Tyagi(I+T),,,,"J1,J2
(1/102)","A2
(7/105,7/204,7/205,7/206)",,,,,,BS
CL 205,Chemical Reaction Engineering - I,2,1,0,3,Kabeer Jasuja(I+T),,,,"G1,G2
 (7/202)",,,,,,,
ME 209,Principles of Manufacturing Processes,2,0,1.5,3,Prof. Ramakrishnan(I+L),,,,"G1,G2
 (7/203)",,,,,,,
ES 221,Mechanics of Solids,3,1.5,0,4,"Harmeet Singh(I),Harini Subramanian(T)",,,,"D1,D2
 (5/202)","H2
 (5/202)",,,,,,
ES 212,Fluid Mechanics,3,1.5,0,4,Pranab Mohapatra(I+T),,,,"F1,F2
 (7/101)","N1
 (7/206)",,,,,,
CE 202,Sustainability and Environment,1,0,3,3,Vimal Mishra(I+L),,,,"D1
 (7/101)",,"I1,K1
(7/204)",,,,,
ME 207,Fluid Dynamics,3,1.5,1.5,5,"Dilip Sundaram(I+T+L),Vinod Narayanan(T+L),Uddipta Ghosh(T+L)",,,,"F1,F2
 (7/208)","N1
 (7/102,7/107,7/202)","I1
(7/205)",,,,,
ME 208,Vibrations,3,1,0,2,Jayaprakash K. R.(I+T),,,,"C1,C2
 (7/107)","M1
 (7/102)",,,,,,
MSE 203,Introduction to Computational Materials Engineering,3,1,0,4,Raghavan Ranganathan(I+T),,,,"F1,F2
 (7/210)","N1
 (7/106)",,,,,,
MSE 205,Mechanical Behavior of Materials,3,0,1.5,4,Pradipta Ghosh(I+L),,,,"D1,D2
 (7/210)",,"I1
(MSE Lab)",,,,,
MSE 206,Physics of Materials,3,0,0,4,Abhay Gautam(I),,,,"C1,C2
 (7/210)",,,,,,,
MSE 210,Microstructural Engineering,3,0,1.5,4,Prafull Pandey(I+L),,,,"G1,G2
(11/101)",,"K1
(MSE Lab)",,,,,
EE 224,Power Systems,3,1.5,0,4,Naran Pindoriya(I+T),,,,"C1,C2
 (11/101)","H2
 (11/101)",,,,,,
ES 245,Control Systems,3,1.5,0,4,S Rajendran(I+T),,,,"D1,D2
(10/202)","N1
(10/202)",,,,,,
ES 301,Data Structures and Algorithms II,3,1,0,4,Manoj Gupta(I+T),,,,"P1,P2
(10/201)","J1
(10/201)",,,,,,
CE 302,Structural Analysis,3,1,0,4,Manish Kumar(I+T),,,,"C1,C2
 (7/101)","H2
 (7/106)",,,,,,
CS 303,Mathematical Foundations for AI,3,1,0,4,"Manisha Padala(I+T),Neeldhara Misra(I+T)",,,,"G1,G2
(10/202)","K2
 (1/101)",,,,,,
PE 104,Physical Education,0,0,0,0,,,,,,,,,,,,
IN 103,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
6th Sem | B Tech Chemical Engineering,,,,,,,,,,,,,,,,,
CL 316,Separation Processes - II,2,1,0,3,Karthik Subramaniam(I+T),,,,"G1,G2
(7/208)",,,,,,,
CL 317,"Process Synthesis, Design, and Simulation",1.5,0,3,4,Hari Ganesh(I+L),,,,"E1
(10/102)",,"I2,M1
(7/109)",,,,,
CL 325,Transport Phenomena,2,1,0,3,Nitin Padhiyar(I+T),,,,"D1,D2
 (10/102)",,,,,,,
CL 327,Integrated Chemical Engineering Lab-II,0,0,3,2,Abinaya Sampath(L),,,,,,"J1,L1
(CL Lab)",,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Chemical Engineering,,,,,,,,,,,,,,,,,
HS XXX,HS Elective,,,,,,,,,,,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6th Sem | B Tech Civil Engineering,,,,,,,,,,,,,,,,,
CE 311,Design of Reinforced Concrete Structures,3,1,0,5,"Gaurav Srivastava(I+T),K. Siva Teja Chopperla(I+T)",,,,"E1,E2
 (7/101)","A1
 (7/101)",,,,,,
